733.314 -2389 0 
674.802 -2400 0 
648.833 -2420 0 
673.549 -2423 0 
700.25 -2278 0 
630.558 -2169 0 
729.653 -2393 0 
1041.25 -2441 0 
732.854 -2380 0 
688.134 -2420 0 
1148.33 -2445 0 
925.528 -2437 0 
752.835 -2414 0 
1136.98 -2445 0 
1147.99 -2444 0 
1119.61 -2444 0 
668.925 -2412 0 
631.221 -2201 0 
635.985 -2123 0 
663.594 -2424 0 
632.138 -2261 0 
798.581 -2397 0 
1380.03 -2447 0 
645.287 -2315 0 
658.338 -2421 0 
1215.13 -2444 0 
756.445 -2394 0 
648.781 -2418 0 
740.904 -2428 0 
628.088 -2152 0 
688.66 -2423 0 
711.688 -2376 0 
706.11 -2362 0 
634.712 -2284 0 
860.759 -2433 0 
661.77 -2410 0 
732.714 -2431 0 
704.381 -2424 0 
701.948 -2432 0 
649.365 -2329 0 
630.622 -2177 0 
1096.87 -2443 0 
736 -2391 0 
774.667 -2397 0 
683.332 -2416 0 
706.087 -2430 0 
839.86 -2435 0 
655.77 -2422 0 
649.274 -2411 0 
1310 -2446 0 
722.019 -2431 0 
766.432 -2395 0 
651.148 -2411 0 
638.063 -2253 0 
729.865 -2379 0 
656.29 -2423 0 
1168.08 -2442 0 
638.144 -2333 0 
751.954 -2432 0 
1198.79 -2446 0 
640.563 -2365 0 
1080.84 -2442 0 
1198.07 -2443 0 
648.28 -2390 0 
683.814 -2422 0 
672.42 -2428 0 
1172.02 -2444 0 
1326.45 -2447 0 
701.19 -2429 0 
725.983 -2385 0 
809.854 -2414 0 
701.947 -2345 0 
662.781 -2409 0 
630.557 -2152 0 
664.899 -2424 0 
700.909 -2312 0 
763.414 -2435 0 
672.94 -2428 0 
766.599 -2429 0 
695 -2344 0 
649.951 -2408 0 
642.281 -2226 0 
793.018 -2434 0 
692.983 -2105 0 
737.865 -2433 0 
705.224 -2353 0 
696.528 -2222 0 
752.937 -2433 0 
728.163 -2431 0 
725.357 -2377 0 
888.302 -2434 0 
674.291 -2428 0 
644.803 -2377 0 
640.598 -2369 0 
648.968 -2398 0 
763.948 -2392 0 
672.524 -2413 0 
641.816 -2316 0 
709.195 -2374 0 
631.385 -2233 0 
